timestamp,dx,dy,dz,droll,dpitch,dyaw
1.720639393342733145e+09,4.073655539221446276e+01,-1.661292477249308419e+01,8.971370564478844400e-01,1.151727872629698148e-02,-3.371479601779858726e-03,1.310011336574424368e+00
1.720639393742957115e+09,4.083684392436423138e+01,-1.697829560748622768e+01,9.044017018838319544e-01,1.235097961040651678e-02,-1.973867731719369800e-04,1.340909757304000305e+00
1.720639394142543316e+09,4.091726112153726547e+01,-1.734820276390430749e+01,9.120833283635628730e-01,1.212855712132338698e-02,8.293824862384280294e-04,1.370277409520725742e+00
1.720639394543044567e+09,4.098965710203803070e+01,-1.770346109060204398e+01,9.216220738398310797e-01,1.218155068405401241e-02,4.080248345138315358e-03,1.398930171945981682e+00
1.720639394942784309e+09,4.105893737838984947e+01,-1.809438380296398918e+01,9.317673341007830512e-01,9.349276233050637930e-03,4.553325402784080822e-03,1.430265705258607190e+00
1.720639395343384743e+09,4.111241227032990508e+01,-1.846139309729351297e+01,9.372047556376086330e-01,7.123615870936139856e-03,6.878738091924185838e-03,1.459287691063309689e+00
1.720639395743193865e+09,4.114751622720631730e+01,-1.884632145758260435e+01,9.460619909431322583e-01,5.523452327475915184e-03,9.168962168929706280e-03,1.475696238860616072e+00
1.720639396143435240e+09,4.118537491504569914e+01,-1.921798039337572916e+01,9.533795882234517016e-01,5.507265292172813624e-03,9.966784467970946082e-03,1.488401856297409953e+00
1.720639396543298960e+09,4.121724221697299129e+01,-1.960618614129615622e+01,9.598278670115696354e-01,6.194474531043686616e-03,1.232058486321663260e-02,1.501195708500096204e+00
1.720639396943555117e+09,4.124617971581862719e+01,-1.997932070349604672e+01,9.656340075329357120e-01,5.713296294397701182e-03,1.351773121095778407e-02,1.512984002809511841e+00
1.720639397343476772e+09,4.126225556494242142e+01,-2.034912200455394427e+01,9.743911395172284440e-01,6.649577192150103386e-03,1.469063198053932595e-02,1.523011217114205840e+00
1.720639397743465424e+09,4.128072699648769373e+01,-2.073511404143776105e+01,9.780978463113993993e-01,7.674337638117029528e-03,1.451908741792440338e-02,1.533955655423659525e+00
1.720639398143506289e+09,4.129197168416656183e+01,-2.109910130145961205e+01,9.870984970781838674e-01,1.099706523472773929e-02,1.496240543139548684e-02,1.542377832328000187e+00
1.720639398543220282e+09,4.131107165485807542e+01,-2.148663785919736213e+01,9.934826920867922961e-01,1.089390417102790130e-02,1.310255637074542179e-02,1.551479537018934929e+00
1.720639398943223715e+09,4.131594625969088952e+01,-2.186565447495724257e+01,1.006025589232161899e+00,1.229555558360880332e-02,1.036806182020777456e-02,1.559950169337772863e+00
1.720639399343724489e+09,4.132730594177159134e+01,-2.224461495358242757e+01,1.015084512048066046e+00,1.501788732237504219e-02,7.464699574797117876e-03,1.567359536231990313e+00
1.720639399743411541e+09,4.133176850523395984e+01,-2.261952197970825296e+01,1.023821948170291707e+00,1.840232526966405560e-02,3.192807249603468733e-03,1.574692794372221982e+00
1.720639400143629074e+09,4.133201767440996122e+01,-2.300073700231639151e+01,1.034499940575672294e+00,2.091676768796369573e-02,1.801383514576926359e-06,1.580225753987749560e+00
1.720639400543325424e+09,4.133077097704220648e+01,-2.337833475923369164e+01,1.048280782047271265e+00,2.575120052911742188e-02,-4.250489962317027803e-03,1.585990582155248685e+00
1.720639400943392754e+09,4.133085584915995270e+01,-2.375166689873542580e+01,1.062678441562149301e+00,2.802923027837628603e-02,-8.852197934127614687e-03,1.590499722260608317e+00
1.720639401343408346e+09,4.132896850626477914e+01,-2.413494403997447080e+01,1.077088473242778122e+00,2.860113417234810135e-02,-1.083450222689807951e-02,1.593953785485657582e+00
1.720639401743343830e+09,4.132926216631459937e+01,-2.452079253340165721e+01,1.092198232011799330e+00,2.749600907193465449e-02,-1.469495020492539439e-02,1.599148489111895666e+00
1.720639402143408060e+09,4.132818222162973854e+01,-2.490088400662510537e+01,1.106943536371211012e+00,2.089957309606212468e-02,-1.624593502087079422e-02,1.602403271863209744e+00
1.720639402543515444e+09,4.131960166694761938e+01,-2.528751966930936490e+01,1.115194725415352917e+00,1.557616097228524746e-02,-1.430814277474645735e-02,1.605169939477542496e+00
1.720639402943128824e+09,4.129201001324335607e+01,-2.566511974725194989e+01,1.129705412389119035e+00,8.832616285177855020e-03,-9.794314662995295961e-03,1.605290571520529896e+00
1.720639403343419790e+09,4.127837843348019931e+01,-2.604644406294330494e+01,1.136501576145663384e+00,8.847161905125655937e-03,-3.020000070478534582e-03,1.611364842003132347e+00
1.720639403742817163e+09,4.126542650712363525e+01,-2.641796116687897111e+01,1.146981674545979768e+00,1.568263945363340683e-02,4.189447275727564701e-03,1.613996672473455574e+00
1.720639404143313646e+09,4.124456367495528042e+01,-2.678506074914880131e+01,1.161020524134888987e+00,3.280453449836144564e-02,1.261837210191352199e-03,1.624049650379355336e+00
1.720639404543074131e+09,4.123709321133139127e+01,-2.716576199909857081e+01,1.172005673809549897e+00,3.963433191020403201e-02,-4.752789456097028520e-03,1.628128230024075807e+00
1.720639404943208456e+09,4.122479931859234625e+01,-2.753729760584454667e+01,1.189005122623260080e+00,4.861939261010055080e-02,-1.181519684880427690e-02,1.632594611402631957e+00
1.720639405342997074e+09,4.120566897340690105e+01,-2.791635631697228348e+01,1.210923343821013409e+00,4.605742788849986197e-02,-2.852252566959045943e-02,1.637806846693492080e+00
1.720639405743916750e+09,4.120032518696937984e+01,-2.830344858735339741e+01,1.226560318795735682e+00,2.926761501007991984e-02,-3.449546472065545544e-02,1.640489310867387918e+00
1.720639406143463850e+09,4.117121376122249643e+01,-2.869728912270071675e+01,1.227642269829742006e+00,-5.393822961457674266e-03,-4.026059188479291784e-02,1.644725414198171309e+00
1.720639406543252707e+09,4.115494890181390275e+01,-2.905947584052294630e+01,1.256407981583045341e+00,-1.436116595221601042e-03,-5.383166957253848750e-02,1.642914698026176401e+00
1.720639406943218231e+09,4.112121496962222977e+01,-2.943070514021662376e+01,1.251643646659692966e+00,1.968663182802742398e-02,-5.710233735633796215e-02,1.642088470661740685e+00
1.720639407343409777e+09,4.111300836754791277e+01,-2.980581229737866167e+01,1.266457680147444753e+00,3.275859143114451949e-02,-6.421676631420925041e-02,1.639039889888753931e+00
1.720639407743385315e+09,4.110971024617452230e+01,-3.019200137701531972e+01,1.277653098157134792e+00,3.526083741288531248e-02,-7.004145106856296543e-02,1.637570295145877708e+00
1.720639408143291235e+09,4.109202064910721219e+01,-3.055889816796451086e+01,1.304286897389806299e+00,2.427410672657376658e-02,-7.819751596030544150e-02,1.637808365486793427e+00
1.720639408543227196e+09,4.106796227895765128e+01,-3.094285584476939377e+01,1.303516663011039967e+00,1.219674477547334421e-02,-8.702897038756107762e-02,1.637735181998373202e+00
1.720639408943483829e+09,4.105103579005043457e+01,-3.132578305095712068e+01,1.318007247641972857e+00,1.439675680370065998e-02,-8.722311967198370652e-02,1.633569455828141281e+00
1.720639409343438148e+09,4.104782973539946767e+01,-3.169669563016815061e+01,1.325750047176654345e+00,8.336454390875757520e-05,-8.602264899447953361e-02,1.631608302463479543e+00
1.720639409743704796e+09,4.103724421164615421e+01,-3.207438576673418851e+01,1.343271538811484866e+00,8.999787738153646258e-03,-8.198585494925425543e-02,1.620422326879040531e+00
1.720639410143341303e+09,4.101442109624408516e+01,-3.245010476405661848e+01,1.344724092009699667e+00,1.010706019737503056e-02,-7.782138763315904484e-02,1.618025631164606626e+00
1.720639410543761015e+09,4.100798922659287626e+01,-3.282899812752207680e+01,1.362850837067104415e+00,1.387881056039822446e-02,-6.863423074848040706e-02,1.608851397437947028e+00
1.720639410943919420e+09,4.098996038283811316e+01,-3.320035396674150974e+01,1.368880014593743644e+00,1.680554098776345859e-02,-5.342107791025374475e-02,1.603522491800672300e+00
1.720639411243903160e+09,4.097976974159206520e+01,-3.350306936972844341e+01,1.372970106351099950e+00,2.185142579064324256e-02,-4.694605335826862458e-02,1.601801735138601579e+00
1.720639411643322229e+09,4.097460525461671921e+01,-3.387922948937221435e+01,1.388535651625275813e+00,1.733101785737124062e-02,-3.563719509880947101e-02,1.604936042702251653e+00
1.720639412043926477e+09,4.096017696937036590e+01,-3.426416095478698765e+01,1.394781346622473883e+00,1.242974192797262518e-02,-2.286059822044794743e-02,1.609363430205074108e+00
1.720639412444186687e+09,4.094498022582440200e+01,-3.464547220031743535e+01,1.401518981488909521e+00,1.249505625041843170e-02,-4.769859709848001117e-03,1.615025292649542532e+00
1.720639412843938828e+09,4.093141909544252854e+01,-3.502536853783876580e+01,1.414317889122198135e+00,1.356484216841017006e-02,4.222787212406764468e-04,1.621338466721080174e+00
1.720639413243802309e+09,4.090444536507100537e+01,-3.541145472877364853e+01,1.414970903422357429e+00,2.558427730734312740e-03,8.710413561565433227e-03,1.630844767241810711e+00
1.720639413644011021e+09,4.087783945111468142e+01,-3.579333510589798095e+01,1.422301677186124769e+00,-4.463074302421817657e-03,1.319632436300643974e-02,1.645389583890465746e+00
1.720639414044068813e+09,4.083936653641988102e+01,-3.619137290701306142e+01,1.421113991820478262e+00,2.486924940978569860e-04,2.407833003329140631e-02,1.652855209748546050e+00
1.720639414444070101e+09,4.081788565676821889e+01,-3.656464075324335283e+01,1.427380872109008880e+00,-5.240317057037559116e-03,1.418435107656312866e-02,1.670473355344980648e+00
1.720639414743901014e+09,4.079739601326404141e+01,-3.686506820058023237e+01,1.427104484543647134e+00,-2.208850483791726348e-03,2.346630806319094376e-02,1.675542789847827008e+00
